"Participant ID","Completed","Pre/Post","Score","Difference","Proctor","Provider","State","Caseload","Group Frequency","Online Frequency","Rural Frequency","Service","Archived","q_01","q_02","q_03","q_04","q_05","q_06","q_07","q_08","q_09","q_10","q_11","q_12","q_13","q_14","q_15","q_16","q_17","Mode"
1896,"06/27/2023 14:46:42 (MST)","Pre",54.55,NA,"Utah SPA","Logistics Specialties Inc. (8)","Utah","","","sometimes","","FL",0,1,3,1,2,0,3,2,2,2,NA,2,2,NA,NA,"",NA,"","No Help"
1369,"11/30/2022 05:45:00 (MST)","Pre",79.17,NA,"","Logistics Specialties Inc. (8)","Utah","","sometimes","","","ISA",0,1,3,2,1,2,3,0,2,2,2,3,NA,NA,NA,"",NA,"","No Help"
1073,"04/28/2022 01:53:55 (MST)","Pre",10,NA,"","Columbus Community Center (9)","Utah","","","","","FL",0,1,2,1,1,2,1,3,1,3,NA,NA,2,3,NA,"",NA,"","With Help"
2352,"06/20/2024 17:55:10 (MST)","Post",100,NA,"Kellie Spencer","Logistics Specialties Inc. (8)","Utah","specialized","","often","sometimes","ISA",0,2,3,3,3,2,2,3,3,3,1,1,NA,3,NA,"",NA,"","No Help"
1501,"02/01/2022 06:12:51 (MST)","Post",96.3,NA,"Jessy Katu","Logistics Specialties Inc. (8)","Utah","specialized","","","","FL",0,1,1,2,1,2,0,3,3,2,NA,NA,NA,3,2,"",NA,"","No Help"
406,"11/28/2023 12:53:50 (MST)","Pre",66.67,35.56,"","Logistics Specialties Inc. (8)","Utah","","never","","always","JOBEX",0,2,3,2,3,3,1,2,3,2,2,NA,NA,2,NA,"",NA,"","No Help"
2391,"02/02/2023 18:54:00 (MST)","Post",54.17,NA,"","Logistics Specialties Inc. (8)","Utah","general","","never","always","ISA",0,3,3,3,2,0,2,1,3,2,NA,1,NA,2,NA,"",NA,"","No Help"
1231,"11/08/2022 10:29:20 (MST)","Pre",66.67,44.44,"Gabrielle Braze","Logistics Specialties Inc. (8)","Utah","","","","rarely","ISA",0,3,3,2,3,2,2,1,3,3,NA,2,NA,2,2,"",NA,"",""
2276,"01/08/2025 14:02:54 (MST)","Post",95.56,NA,"Lesley DeBono","Southern Utah University (27)","Utah","","","rarely","","CSS",0,3,2,3,2,3,3,2,1,1,NA,NA,0,NA,NA,"2",NA,"","No Help"
609,"06/08/2022 01:08:32 (MST)","Post",77.78,NA,"Reston Godwin","Logistics Specialties Inc. (8)","Utah","general","","","","JS",1,2,2,2,3,3,1,2,3,3,3,2,3,NA,NA,"",NA,"","No Help"
1028,"03/02/2022 07:05:05 (MST)","Pre",70.37,NA,"","Logistics Specialties Inc. (8)","Utah","specialized","","","","JOBEX",0,2,0,2,0,3,2,2,1,2,3,NA,NA,NA,2,"",NA,"",""
1329,"06/05/2023 10:23:14 (MST)","Post",60,10,"Kay Lister","Logistics Specialties Inc. (8)","Utah","","","","sometimes","JOBEX",0,2,2,2,2,2,2,3,2,1,NA,3,NA,NA,NA,"",NA,"","No Help"
69,"05/23/2022 06:00:29 (MST)","Pre",62.96,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","","","always","JOBEX",0,1,2,3,3,1,3,2,1,1,2,NA,2,NA,NA,"",NA,"","No Help"
187,"02/09/2024 14:37:25 (MST)","Post",42.42,12.5,"Spencer Hansen","Meta Mindful (83)","Utah","","always","","","CSS",0,3,2,2,2,3,2,2,1,NA,NA,3,1,2,NA,"",NA,"","No Help"
311,"08/08/2024 10:39:21 (MST)","Pre",83.33,NA,"","Logistics Specialties Inc. (8)","Utah","","rarely","","","QWEX",0,2,1,3,3,2,3,2,3,2,2,3,NA,NA,NA,"",NA,"","With Help"
2514,"03/22/2023 13:43:24 (MST)","Pre",42.42,50,"","North Sanpete School District (24)","Utah","","","sometimes","","JOBEX",0,2,3,1,3,3,3,0,3,2,1,NA,NA,NA,NA,"3",NA,"",""
1771,"06/01/2023 10:54:12 (MST)","Post",29.63,NA,"","Yellowstone Academy (214)","Utah","general","never","","","JOBEX",0,3,2,2,1,3,1,1,1,1,2,1,2,NA,3,"",NA,"",""
873,"04/11/2024 22:03:37 (MST)","Post",50,25.93,"Utah SPA","Logistics Specialties Inc. (8)","Montana","","","","rarely","ILOM",0,3,0,2,3,2,3,3,1,3,3,NA,NA,NA,2,"",NA,"","No Help"
1190,"07/25/2024 14:16:06 (MST)","Post",61.9,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ILOM",0,2,2,3,0,0,2,3,3,2,2,2,NA,NA,NA,"",NA,"","No Help"
311,"05/26/2022 05:05:57 (MST)","Pre",33.33,13.34,"Savannah Hess","Turn Community Services (29)","Utah","general","always","","never","JOBEX",0,1,1,2,2,2,0,2,1,1,2,3,NA,NA,3,"",NA,"",""
1984,"08/08/2024 10:34:51 (MST)","Post",66.67,NA,"","Roads to Independence (26)","Utah","","","","never","ISA",0,2,2,2,3,3,3,2,2,NA,NA,NA,3,NA,NA,"1",NA,"",""
2342,"05/25/2022 23:12:00 (MST)","Pre",33.33,NA,"","Logistics Specialties Inc. (8)","Utah","","","sometimes","sometimes","JOBEX",0,2,1,2,3,3,3,2,1,2,1,NA,NA,0,1,"",NA,"",""
131,"11/15/2024 13:34:25 (MST)","Post",33.33,NA,"","North Sanpete School District (24)","Demo","","","never","","ISA",0,3,3,0,3,3,1,1,1,1,2,3,1,NA,NA,"",NA,"","No Help"
2287,"07/12/2024 06:09:18 (MST)","Pre",96.97,NA,"Daelynn Disque","Logistics Specialties Inc. (8)","Utah","general","","rarely","always","JS",0,1,3,2,2,2,1,2,2,2,NA,0,NA,NA,NA,"",NA,"","With Help"
1775,"04/28/2022 01:51:34 (MST)","Pre",97.62,NA,"Alisha Anderson","Yellowstone Academy (214)","Oklahoma","","","","","JOBEX",0,1,1,1,1,3,2,1,3,3,NA,NA,NA,NA,NA,"",NA,"","No Help"
978,"07/05/2024 08:36:55 (MST)","Pre",56.67,35.56,"","Logistics Specialties Inc. (8)","Utah","","","","","CPSO",0,1,2,2,3,3,0,0,1,1,2,NA,0,NA,0,"",NA,"","No Help"
236,"05/21/2024 13:20:29 (MST)","Pre",56.67,4.45,"Daisy Ramirez","Logistics Specialties Inc. (8)","Utah","","","","","JS",0,3,0,3,1,3,2,2,3,2,0,NA,NA,3,NA,"1",NA,"","No Help"
956,"03/07/2024 14:13:34 (MST)","Pre",46.67,-19.05,"","North Sanpete School District (24)","Utah","","always","never","","ISA",0,2,1,2,3,3,3,2,1,NA,NA,2,3,2,1,"",NA,"","No Help"
1626,"03/08/2022 07:27:49 (MST)","Pre",0,-11.11,"","Logistics Specialties Inc. (8)","Utah","","always","never","","CPSO",0,3,2,1,3,2,2,2,2,2,3,NA,2,2,3,"",NA,"",""
6,"11/04/2024 14:12:25 (MST)","Pre",73.33,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","","sometimes","","JS",0,2,0,2,1,2,2,2,1,2,3,2,2,NA,NA,"",NA,"","No Help"
2354,"05/22/2024 21:14:13 (MST)","Pre",83.33,29.16,"","Logistics Specialties Inc. (8)","Oklahoma","","","","","JOBEX",0,1,2,0,3,2,2,2,3,2,NA,NA,3,NA,1,"",NA,"",""
275,"12/10/2021 05:54:31 (MST)","Pre",56.67,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","never","sometimes","","CSS",0,1,1,1,2,3,3,2,2,1,NA,NA,3,NA,NA,"",NA,"",""
