"Participant ID","Completed","Pre/Post","Score","Difference","Provider","State","Caseload","Group Frequency","Online Frequency","Rural Frequency","Service","Archived","q_01","q_02","q_03","q_04","q_05","q_06","q_07","q_08","q_09","q_10","q_11","q_12","q_13","q_14","q_15","q_16","q_17","Mode"
1896,"11/11/2023 16:46:42 (MST)","Pre",51.55,NA,"Logistics Specialties Inc. (8)","Utah","","","sometimes","","FL",0,1,3,1,2,0,3,2,2,2,NA,2,2,NA,NA,"",NA,"","No Help"
1369,"04/16/2023 07:45:00 (MST)","Pre",76.17,NA,"Logistics Specialties Inc. (8)","Utah","","sometimes","","","ISA",0,1,3,2,1,2,3,0,2,2,2,3,NA,NA,NA,"",NA,"","No Help"
1073,"09/12/2022 03:53:55 (MST)","Pre",7,NA,"Columbus Community Center (9)","Utah","","","","","FL",0,1,2,1,1,2,1,3,1,3,NA,NA,2,3,NA,"",NA,"","With Help"
2352,"11/04/2024 19:55:10 (MST)","Post",97,NA,"Logistics Specialties Inc. (8)","Utah","specialized","","often","sometimes","ISA",0,2,3,3,3,2,2,3,3,3,1,1,NA,3,NA,"",NA,"","No Help"
1501,"06/18/2022 08:12:51 (MST)","Post",93.3,NA,"Logistics Specialties Inc. (8)","Utah","specialized","","","","FL",0,1,1,2,1,2,0,3,3,2,NA,NA,NA,3,2,"",NA,"","No Help"
406,"04/13/2024 14:53:50 (MST)","Pre",63.67,32.56,"Logistics Specialties Inc. (8)","Utah","","never","","always","JOBEX",0,2,3,2,3,3,1,2,3,2,2,NA,NA,2,NA,"",NA,"","No Help"
2391,"06/19/2023 20:54:00 (MST)","Post",51.17,NA,"Logistics Specialties Inc. (8)","Utah","general","","never","always","ISA",0,3,3,3,2,0,2,1,3,2,NA,1,NA,2,NA,"",NA,"","No Help"
1231,"03/25/2023 12:29:20 (MST)","Pre",63.67,41.44,"Logistics Specialties Inc. (8)","Utah","","","","rarely","ISA",0,3,3,2,3,2,2,1,3,3,NA,2,NA,2,2,"",NA,"",""
2276,"05/25/2025 16:02:54 (MST)","Post",92.56,NA,"Southern Utah University (27)","Utah","","","rarely","","CSS",0,3,2,3,2,3,3,2,1,1,NA,NA,0,NA,NA,"2",NA,"","No Help"
609,"10/23/2022 03:08:32 (MST)","Post",74.78,NA,"Logistics Specialties Inc. (8)","Utah","general","","","","JS",1,2,2,2,3,3,1,2,3,3,3,2,3,NA,NA,"",NA,"","No Help"
1028,"07/17/2022 09:05:05 (MST)","Pre",67.37,NA,"Logistics Specialties Inc. (8)","Utah","specialized","","","","JOBEX",0,2,0,2,0,3,2,2,1,2,3,NA,NA,NA,2,"",NA,"",""
1329,"10/20/2023 12:23:14 (MST)","Post",57,7,"Logistics Specialties Inc. (8)","Utah","","","","sometimes","JOBEX",0,2,2,2,2,2,2,3,2,1,NA,3,NA,NA,NA,"",NA,"","No Help"
69,"10/07/2022 08:00:29 (MST)","Pre",59.96,NA,"Logistics Specialties Inc. (8)","Oklahoma","","","","always","JOBEX",0,1,2,3,3,1,3,2,1,1,2,NA,2,NA,NA,"",NA,"","No Help"
187,"06/25/2024 16:37:25 (MST)","Post",39.42,9.5,"Meta Mindful (83)","Utah","","always","","","CSS",0,3,2,2,2,3,2,2,1,NA,NA,3,1,2,NA,"",NA,"","No Help"
311,"12/23/2024 12:39:21 (MST)","Pre",80.33,NA,"Logistics Specialties Inc. (8)","Utah","","rarely","","","QWEX",0,2,1,3,3,2,3,2,3,2,2,3,NA,NA,NA,"",NA,"","With Help"
2514,"08/06/2023 15:43:24 (MST)","Pre",39.42,47,"North Sanpete School District (24)","Utah","","","sometimes","","JOBEX",0,2,3,1,3,3,3,0,3,2,1,NA,NA,NA,NA,"3",NA,"",""
1771,"10/16/2023 12:54:12 (MST)","Post",26.63,NA,"Yellowstone Academy (214)","Utah","general","never","","","JOBEX",0,3,2,2,1,3,1,1,1,1,2,1,2,NA,3,"",NA,"",""
873,"08/27/2024 00:03:37 (MST)","Post",47,22.93,"Logistics Specialties Inc. (8)","Montana","","","","rarely","ILOM",0,3,0,2,3,2,3,3,1,3,3,NA,NA,NA,2,"",NA,"","No Help"
1190,"12/09/2024 16:16:06 (MST)","Post",58.9,NA,"Logistics Specialties Inc. (8)","Utah","","","","","ILOM",0,2,2,3,0,0,2,3,3,2,2,2,NA,NA,NA,"",NA,"","No Help"
311,"10/10/2022 07:05:57 (MST)","Pre",30.33,10.34,"Turn Community Services (29)","Utah","general","always","","never","JOBEX",0,1,1,2,2,2,0,2,1,1,2,3,NA,NA,3,"",NA,"",""
1984,"12/23/2024 12:34:51 (MST)","Post",63.67,NA,"Roads to Independence (26)","Utah","","","","never","ISA",0,2,2,2,3,3,3,2,2,NA,NA,NA,3,NA,NA,"1",NA,"",""
2342,"10/10/2022 01:12:00 (MST)","Pre",30.33,NA,"Logistics Specialties Inc. (8)","Utah","","","sometimes","sometimes","JOBEX",0,2,1,2,3,3,3,2,1,2,1,NA,NA,0,1,"",NA,"",""
131,"04/01/2025 15:34:25 (MST)","Post",30.33,NA,"North Sanpete School District (24)","Demo","","","never","","ISA",0,3,3,0,3,3,1,1,1,1,2,3,1,NA,NA,"",NA,"","No Help"
2287,"11/26/2024 08:09:18 (MST)","Pre",93.97,NA,"Logistics Specialties Inc. (8)","Utah","general","","rarely","always","JS",0,1,3,2,2,2,1,2,2,2,NA,0,NA,NA,NA,"",NA,"","With Help"
1775,"09/12/2022 03:51:34 (MST)","Pre",94.62,NA,"Yellowstone Academy (214)","Oklahoma","","","","","JOBEX",0,1,1,1,1,3,2,1,3,3,NA,NA,NA,NA,NA,"",NA,"","No Help"
978,"11/19/2024 10:36:55 (MST)","Pre",53.67,32.56,"Logistics Specialties Inc. (8)","Utah","","","","","CPSO",0,1,2,2,3,3,0,0,1,1,2,NA,0,NA,0,"",NA,"","No Help"
